Event,Date,Time,Latitude,Longitude,Depth(km),Intensity,Magnitude,Type Mag,Location
es2022johyz,2022-05-16,21:02:56,28.2396,-16.6861,12.0,,0.6,4,NE GUÍA DE ISORA.ITF
es2022jnbpe,2022-05-16,04:41:41,28.2876,-16.4905,9.0,,0.2,4,NW FASNIA.ITF
es2022jmhfe,2022-05-15,18:23:52,28.3224,-16.6999,8.0,,0.9,4,SE ICOD DE LOS VINOS.ITF
es2022jlkya,2022-05-15,07:08:47,28.1638,-16.2244,31.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022jjdzs,2022-05-14,01:22:37,28.2637,-16.6412,2.0,,-0.2,4,N VILAFLOR DE CHASNA.ITF
es2022jhjad,2022-05-13,01:38:41,28.2882,-16.3423,30.0,,1.5,4,SE GÜÍMAR.ITF
es2022jgmmi,2022-05-12,14:15:49,28.1327,-16.1287,0.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022jfpbb,2022-05-12,02:25:37,28.0275,-16.3509,20.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022jfhqd,2022-05-11,22:40:44,28.2478,-16.693,14.0,,1.2,4,NE GUÍA DE ISORA.ITF
es2022jfdrv,2022-05-11,20:41:28,28.2262,-16.6959,13.0,,1.3,4,E GUÍA DE ISORA.ITF
es2022jeqat,2022-05-11,13:47:34,28.1254,-16.2319,7.0,,2.1,4,ATLÁNTICO-CANARIAS
es2022jecih,2022-05-11,06:52:03,28.2398,-16.6868,13.0,,1.1,4,NE GUÍA DE ISORA.ITF
es2022jcien,2022-05-10,07:33:31,28.0989,-16.2013,20.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022jahlz,2022-05-09,04:55:55,28.2603,-16.5004,8.0,,0.7,4,NW FASNIA.ITF
es2022izdig,2022-05-08,13:42:21,28.2234,-16.6836,19.0,,1.3,4,NW VILAFLOR DE CHASNA.ITF
es2022iyuiz,2022-05-08,09:10:26,28.2678,-16.6389,3.0,,0.3,4,S LA GUANCHA.ITF
es2022iykac,2022-05-08,03:57:00,28.2485,-16.6804,12.0,,1.1,4,NE GUÍA DE ISORA.ITF
es2022iyjij,2022-05-08,03:36:16,28.1756,-16.2052,18.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022iukyq,2022-05-05,23:53:40,28.2362,-16.6511,15.0,,0.4,4,N VILAFLOR DE CHASNA.ITF
es2022iukvn,2022-05-05,23:50:01,28.2379,-16.6889,14.0,,0.6,4,NE GUÍA DE ISORA.ITF
es2022isomw,2022-05-04,23:25:12,28.184,-16.6642,5.0,,0.5,4,NW VILAFLOR DE CHASNA.ITF
es2022isiep,2022-05-04,20:13:42,28.1832,-16.6621,6.0,,0.4,4,NW VILAFLOR DE CHASNA.ITF
es2022irskz,2022-05-04,12:16:12,28.1532,-16.3009,9.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022ipfym,2022-05-03,03:41:58,28.2582,-16.6941,13.0,,1.4,4,NE GUÍA DE ISORA.ITF
es2022iozky,2022-05-03,00:24:21,28.3064,-16.4759,5.0,,-0.2,4,W GÜÍMAR.ITF
es2022iojuh,2022-05-02,16:30:21,28.1664,-16.7332,5.0,,0.7,4,N ADEJE.ITF
es2022infnq,2022-05-02,01:13:20,28.2821,-16.5407,2.0,,0.6,4,NW FASNIA.ITF
es2022indqh,2022-05-02,00:15:50,28.3963,-16.6951,9.0,,0.4,4,NE ICOD DE LOS VINOS.ITF
es2022imdmg,2022-05-01,11:03:08,28.1849,-16.5122,6.0,,1.4,4,W ARICO.ITF
es2022ilwnp,2022-05-01,07:32:32,28.0671,-16.2655,2.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022iliwv,2022-05-01,00:39:01,28.164,-16.2064,18.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022ilffv,2022-04-30,22:48:33,28.1488,-16.6654,8.0,,1.4,4,W VILAFLOR DE CHASNA.ITF
es2022iicns,2022-04-29,06:02:31,28.2269,-16.6789,7.0,,1.0,4,NW VILAFLOR DE CHASNA.ITF
es2022igodp,2022-04-28,09:38:29,28.1455,-16.241,12.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022ifvfq,2022-04-28,00:05:00,28.2319,-16.6819,14.0,,1.1,4,NW VILAFLOR DE CHASNA.ITF
es2022ifvfa,2022-04-28,00:04:15,28.217,-16.6577,15.0,,1.1,4,NW VILAFLOR DE CHASNA.ITF
es2022ieyeg,2022-04-27,12:26:21,28.0573,-16.2154,10.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022iehgm,2022-04-27,03:53:43,28.2566,-16.698,10.0,,1.2,4,NE GUÍA DE ISORA.ITF
es2022iecvw,2022-04-27,01:40:06,28.2471,-16.6809,12.0,,1.0,4,NE GUÍA DE ISORA.ITF
es2022iecvl,2022-04-27,01:39:37,28.2462,-16.6882,12.0,,1.1,4,NE GUÍA DE ISORA.ITF
es2022iectw,2022-04-27,01:37:48,28.2378,-16.6847,11.0,,1.1,4,NE GUÍA DE ISORA.ITF
es2022ieaey,2022-04-27,00:19:46,28.284,-16.5442,2.0,,0.6,4,SE LOS REALEJOS.ITF
es2022idwbp,2022-04-26,22:14:39,28.3676,-16.6399,12.0,,0.8,4,SE LA GUANCHA.ITF
es2022idunf,2022-04-26,21:27:33,28.4021,-16.9116,10.0,,1.1,4,NW BUENAVISTA DEL NORTE.ITF
es2022icyrd,2022-04-26,10:25:21,28.5272,-16.1109,22.0,,2.1,4,NE SANTA CRUZ DE TENERIFE.ITF
es2022iaomc,2022-04-25,03:00:28,28.069,-16.2294,9.0,,1.3,4,ATLÁNTICO-CANARIAS
es2022ialjd,2022-04-25,01:26:06,28.2006,-16.6484,8.0,,0.5,4,NW VILAFLOR DE CHASNA.ITF
es2022hzazb,2022-04-24,07:03:07,28.3626,-16.2431,21.0,,1.4,4,S SANTA CRUZ DE TENERIFE.ITF
es2022huvea,2022-04-21,23:35:15,28.4124,-16.8941,21.0,,1.8,4,NW BUENAVISTA DEL NORTE.ITF
es2022hurxb,2022-04-21,21:56:12,28.1362,-16.2582,26.0,,0.5,4,ATLÁNTICO-CANARIAS
es2022huohy,2022-04-21,20:07:41,28.0836,-16.2543,34.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022hrufr,2022-04-20,07:42:53,28.0313,-16.1684,9.0,I-II,2.1,4,ATLÁNTICO-CANARIAS
es2022hmtma,2022-04-17,13:40:01,28.1193,-16.2752,18.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022hmkzi,2022-04-17,09:22:45,28.0292,-16.2774,5.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022hmafu,2022-04-17,03:56:56,27.9495,-16.2843,9.0,,1.7,4,ATLÁNTICO-CANARIAS
es2022hltfb,2022-04-17,00:23:55,28.0067,-16.2475,8.0,,1.7,4,ATLÁNTICO-CANARIAS
es2022hkeku,2022-04-16,03:47:56,28.1693,-16.2286,8.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022hjgyi,2022-04-15,15:56:25,28.1573,-16.7402,8.0,,0.1,4,NW ADEJE.ITF
es2022hemtn,2022-04-13,01:12:36,28.1688,-16.2009,20.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022hedjf,2022-04-12,20:27:50,28.2421,-16.3357,25.0,,1.8,4,E FASNIA.ITF
es2022hbqky,2022-04-11,11:39:56,28.1598,-16.6517,8.0,,0.9,4,W VILAFLOR DE CHASNA.ITF
es2022hazft,2022-04-11,02:58:42,28.198,-16.3037,30.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022gzuvz,2022-04-10,11:38:04,28.3911,-16.4715,6.0,,1.1,4,SE SANTA ÚRSULA.ITF
